Response ID,Time Started,Date Submitted,Status,Contact ID,Legacy Comments,Comments,Language,Referer,Extended Referer,SessionID,User Agent,Extended User Agent,IP Address,Longitude,Latitude,Country,City,Region,Postal,Astronomy/astrophysics:Would you like to contribute to or participate in a mini-symposium on:,Geophysics:Would you like to contribute to or participate in a mini-symposium on:,"Meteorology, climatology and atmospheric science:Would you like to contribute to or participate in a mini-symposium on:",Bio-informatics:Would you like to contribute to or participate in a mini-symposium on:,Other (please specify):Would you like to contribute to or participate in a mini-symposium on:,Gaming:Would you like to contribute to or participate in a mini-symposium on:,Aerospace:Would you like to contribute to or participate in a mini-symposium on:,Genomics:Would you like to contribute to or participate in a mini-symposium on:,Renewable Energy:Would you like to contribute to or participate in a mini-symposium on:,Medical Imaging:Would you like to contribute to or participate in a mini-symposium on:,Computer vision:Would you like to contribute to or participate in a mini-symposium on:,Other (please specify):Would you like to contribute to or participate in a mini-symposium on:,Would you like to contribute to or participate in a mini-symposium on:: Comments
1,1/9/13 17:33,1/9/13 17:34,Complete,,,,English,,,1357770837_50edf055ba6467.96177216,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:17.0) Gecko/20100101 Firefox/17.0,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:17.0) Gecko/20100101 Firefox/17.0,50.59.76.58,-96.076797,29.2808,United States,Wharton,TX,77488,,,"Meteorology, climatology and atmospheric science",,,,,,,,,,Excited for Scipy2013! 
2,1/9/13 17:33,1/9/13 17:34,Complete,,,,English,,,1357770829_50edf04d587a51.49855161,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.94 Safari/537","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.94 Safari/537.4",128.135.100.106,-87.602699,41.780399,United States,Chicago,IL,60637,Astronomy/astrophysics,,,,Other (please specify),,,,Renewable Energy,,,Nuclear Engineering,
3,1/9/13 17:33,1/9/13 17:34,Complete,,,,English,,,1357770838_50edf0564eebb6.91846658,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/53","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11",160.39.4.163,-73.965302,40.800598,United States,New York,NY,10025,Astronomy/astrophysics,,,,Other (please specify),,,,,,,High-performance computing,
4,1/9/13 17:57,1/9/13 17:59,Complete,,,,English,,,1357772265_50edf5e9efe201.10754729,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safar","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.97 Safari/537.11",96.236.224.115,-79.905602,40.394798,United States,Homestead,PA,15120,,,,,Other (please specify),,,,,,,Spectroscopy/Material Science,"I'm not sure if this is general enough to be a topic, but I don't hear much about these fields too often and know they are very hot topics in research."
5,1/9/13 18:00,1/9/13 18:00,Complete,,,,English,,,1357772416_50edf680cfafa0.57259726,Mozilla/5.0 (Linux; U; Android 4.0.3; es-es; HUAWEI U8818 Build/HuaweiU8818) AppleWebKit/534.30 (KHT,"Mozilla/5.0 (Linux; U; Android 4.0.3; es-es; HUAWEI U8818 Build/HuaweiU8818) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30",83.60.176.185,-3.6833,40.400002,Spain,Madrid,29,,,,"Meteorology, climatology and atmospheric science",,,,,,Renewable Energy,,,,
6,1/9/13 18:03,1/9/13 18:04,Complete,,,,English,,,1357772635_50edf75bc4a2f5.56433409,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.22 (KHTML, like Gecko) Chrome/25.0.1364.5 Safari/537","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.22 (KHTML, like Gecko) Chrome/25.0.1364.5 Safari/537.22",184.175.54.124,-80.533302,43.466702,Canada,Waterloo,ON,,,,,,Other (please specify),,,,,,,Computational neuroscience,There's a pretty significant community of computational neuroscientists transitioning from Matlab to Python. It would be great to meet up and talk about it!
7,1/9/13 18:09,1/9/13 18:09,Complete,,,,English,,,1357772944_50edf8909467a5.37799478,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:17.0) Gecko/20100101 Firefox/17.0,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:17.0) Gecko/20100101 Firefox/17.0,63.73.180.194,-122.160202,37.715599,United States,San Leandro,CA,94577,Astronomy/astrophysics,,,,,,,,,,,,
8,1/9/13 18:26,1/9/13 18:27,Complete,,,,English,,,1357774006_50edfcb693e1f6.02320511,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.91 Safari/53","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.91 Safari/537.11",64.106.46.2,-106.517799,35.099499,United States,Albuquerque,NM,87112,Astronomy/astrophysics,,,Bio-informatics,,,,Genomics,,,Computer vision,,
9,1/9/13 18:31,1/9/13 18:31,Complete,,,,English,,,1357774276_50edfdc472a846.45787448,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_2) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.12","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_2) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.101 Safari/537.11",108.73.2.24,-97.722702,30.3106,United States,Austin,TX,78751,,Geophysics,,,Other (please specify),,,,,,,Inter-operability with other languages,
10,1/9/13 18:57,1/9/13 18:59,Complete,,,,English,,,1357775859_50ee03f3a4a639.45220449,Mozilla/5.0 (X11; Linux x86_64; rv:11.0) Gecko/20100101 Firefox/11.0,Mozilla/5.0 (X11; Linux x86_64; rv:11.0) Gecko/20100101 Firefox/11.0,74.124.57.93,-95.387901,29.7395,United States,Houston,TX,77006,,Geophysics,,,,,,,Renewable Energy,,Computer vision,,
